place_id,name,latitude,longitude,Main_category,categories,rating,address
ChIJ_Yyp9Gp644kRH5h54ObOKms,Boston University Henry M. Goldman School of Dental Medicine,42.3363425,-71.070395,Health,"dentist,university,health,point_of_interest,establishment,",4,"100 East Newton Street, Boston"
ChIJ_Z8KhHGf5IkR9T24V9a5164,Mastercraft Roofing Siding Windows,42.176012,-70.8894852,Finance,"roofing_contractor,home_goods_store,store,general_contractor,point_of_interest,establishment,",,"49 Whiting Street Rte 53, Hingham"
ChIJ_ZjYAQ1644kRom_91_z99_Y,Boston (Copley) - Harvard Vanguard Medical Associates,42.3478256,-71.0760173,Health,"pharmacy,doctor,store,health,point_of_interest,establishment,",4.1,"165 Dartmouth Street, Boston"
ChIJ-09nQvJ544kRwqBbhQBrhmg,Brookline Arts Center,42.345333,-71.106832,Community,"art_gallery,point_of_interest,establishment,",4,"86 Monmouth Street, Brookline"
ChIJ-1H59p5w44kRrBrTFVwW-Iw,Beacon Hill Hotel & Bistro,42.3569241,-71.0696907,Health,"lodging,restaurant,food,point_of_interest,establishment,",4.4,"25 Charles Street, Boston"
ChIJ-3NgJxV644kRbPGywx5FjBU,Flour Bakery & Cafe,42.338456,-71.0746391,Health,"bakery,store,food,point_of_interest,establishment,",4.5,"1595 Washington Street, Boston"
ChIJ-3vNbw1644kRdNwfuzAL4UQ,Bank of America ATM,42.3492055,-71.0751278,Finance,"atm,finance,point_of_interest,establishment,",1,"200 Clarendon Street, Boston"
ChIJ-3W6OwJi44kRbHCOa--b0pM,REI,42.1774307,-70.9111537,Health,"shoe_store,bicycle_store,clothing_store,store,point_of_interest,establishment,",4.6,"98 Old Derby Street Ste 470, Hingham"
ChIJ-5_M2BaC44kR7_72G1h4IVE,Avalon at Newton Highlands,42.3143193,-71.2127494,Finance,"real_estate_agency,point_of_interest,establishment,",4.8,"99 Needham Street, Newton"
ChIJ-6gL8_9544kRD1kreuQTogU,Henry G. Steinbrenner Stadium,42.3583832,-71.0980482,Health,"stadium,point_of_interest,establishment,",5,Cambridge
ChIJ-bV1UkiH5IkRZ9DXsqUaw3s,Sharon Memorial Park,42.1474891,-71.1698118,Community,"cemetery,point_of_interest,establishment,",2.6,"120 Canton Street, Sharon"
ChIJ-clIT2Z544kRNyw7sQILwt8,Cardtronics ATM,42.3064375,-71.1072282,Finance,"atm,finance,point_of_interest,establishment,",,"3484 Washington Street, Jamaica Plain"
ChIJ-dSuX51w44kRaolSbJweAXk,Equinox Sports Club Boston,42.353014,-71.063256,Health,"gym,spa,health,point_of_interest,establishment,",3.9,"4 Avery Street, Boston"
ChIJ-dZ7rQ9644kRylrNuQrOMA0,Supercuts,42.3489625,-71.0826117,Community,"beauty_salon,hair_care,health,point_of_interest,establishment,",4.1,"829 Boylston Street, Boston"
ChIJ-QqPk3R644kReHaN-DNc4cQ,Consulate General of Turkey,42.3509277,-71.0716548,Community,"embassy,point_of_interest,establishment,",4.4,"31 Saint James Avenue Suite 840, Boston"
ChIJ-RK-jIVw44kRyF0JBm7Ga6Y,The New England Holocaust Memorial,42.3612471,-71.0572517,Community,"park,point_of_interest,establishment,",4.7,"98 Union Street, Boston"
ChIJ-RWDiWZ744kRx1Il-MmDFPg,Panera Bread,42.278254,-71.030669,Health,"cafe,bakery,meal_takeaway,store,restaurant,food,point_of_interest,establishment,",4,"200 Hancock Street, Quincy"
ChIJ-S7Nz4Rw44kRyGucBOsPkZ8,John Adams Courthouse,42.3592149,-71.0611283,Community,"courthouse,point_of_interest,establishment,",4.8,"1 Pemberton Square, Boston"
ChIJ-SIDG9Cd44kRc8-uPTlo7uM,TD Bank,42.4481001,-71.228976,Finance,"bank,atm,finance,point_of_interest,establishment,",4,"1840 Massachusetts Avenue, Lexington"
ChIJ-SUSzit_44kRh0Wlp9BMoH8,Holy Name Parish,42.2880629,-71.1467769,Community,"church,place_of_worship,point_of_interest,establishment,",4,"1689 Centre Street, West Roxbury"
ChIJ-SYOdxt344kR7FlzOOnMUKU,"Cambridge Smiles, Paula Sones, DDS",42.3970597,-71.1302576,Health,"doctor,dentist,health,point_of_interest,establishment,",5,"2400 Massachusetts Avenue, Cambridge"
ChIJ-TSLM3R644kRfSZuZZQbmE4,Consulate General-Royal Thai,42.351342,-71.0689653,Community,"embassy,point_of_interest,establishment,",3,"20 Park Plaza #414, Boston"
ChIJ-TSLM3R644kRgQcrLQooGsA,Consulate General of Israel,42.351342,-71.0689653,Community,"embassy,point_of_interest,establishment,",1.9,"4309, 20 Park Plaza #1026, Boston"
ChIJ-TSLM3R644kRhUiyqoub8n8,Consulate General of the Dominican Republic,42.351342,-71.0689653,Community,"embassy,point_of_interest,establishment,",2.9,"20 Park Plaza #601, Boston"
ChIJ-TSLM3R644kRLj1X55EGga8,Consulate General of Peru,42.3513446,-71.0688062,Community,"embassy,point_of_interest,establishment,",3.2,"20 Park Plaza #511, Boston"
ChIJ-TSLM3R644kRobw3vwfLM_Q,CME International Inc,42.351342,-71.0689653,Community,"church,place_of_worship,point_of_interest,establishment,",,"20 Park Plaza #400, Boston"
ChIJ-TSLM3R644kRseyeywucaIk,Tepper Takayama Fine Arts,42.351342,-71.0689653,Community,"art_gallery,point_of_interest,establishment,",5,"20 Park Plaza #600, Boston"
ChIJ-Ua_Nhd65IkRHTDLoq1vspY,Consulate General of The Islamic Republic of Pakistan,42.1645695,-71.3641647,Community,"embassy,point_of_interest,establishment,",5,"1032 Main Street Unit 5, Millis"
ChIJ-VkGOagc44kRm-dfKPQUPWo,United States Postal Service,42.7208707,-70.9922158,Community,"post_office,finance,point_of_interest,establishment,",5,"64 Central Street Ste 9, Georgetown"
ChIJ-xdl3dSA5IkR3A3D1fS8s5Y,"Daniel Holland, PT",42.1395299,-71.1446659,Health,"physiotherapist,health,point_of_interest,establishment,",,"95 Washington Street, Canton"
ChIJ-xdl3dSA5IkR6Zw--zUJExo,Five Guys,42.1404868,-71.1467337,Health,"meal_takeaway,restaurant,food,point_of_interest,establishment,",4.2,"95 Washington Street, Canton"
ChIJ-xdl3dSA5IkR79HarCwpWv4,"Kaitlin Gagnon, DPT",42.1405118,-71.1478038,Health,"physiotherapist,health,point_of_interest,establishment,",,"95 Washington Street, Canton"
ChIJ-xdl3dSA5IkRCnFwTyZMtRE,"Aleksandra Golberg, MSPT",42.1405644,-71.1478678,Health,"physiotherapist,health,point_of_interest,establishment,",,"95 Washington St, Canton, MA 020214006, Canton"
ChIJ-Xj_hRmj44kR6vRoMxqn5Gk,St Mary's Church,42.6000319,-71.3525808,Community,"church,place_of_worship,point_of_interest,establishment,",4.7,"25 North Road, Chelmsford"
ChIJ-XjCeNKM44kRfpK1e16lUPs,Assabet River Bicycles,42.3924492,-71.5546025,Health,"bicycle_store,store,point_of_interest,establishment,",3.8,"90 Cherry Street, Hudson"
ChIJ-zF2d8V744kRm0U1kfJ9PKU,Muhammad's Mosque,42.3082987,-71.0827269,Community,"place_of_worship,mosque,point_of_interest,establishment,",4.5,"10 Washington Street, Dorchester"
